Simulation of a queueing system with,5, servers,,,,,,,,,
Mean interarrival time,10, minutes,,,,,,,,,
Mean service time,15, minutes,,,,,,,,,
Without Queue,,,,,,,,,,,
,,,,,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida, 6a corrida, 7a corrida, 8a corrida, 9a corrida, 10a corrida,
Number of costumers,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000, costumers
Average number of costumers delayed,975,990,984,988,983,982,989,991,988,987, costumers
Average number of lost clients,25,10,16,12,17,18,11,9,12,13, clients
Blocking rate,0.025,0.01,0.016,0.012,0.017,0.018,0.011,0.009,0.012,0.013,
Server 1 utilization,0.0797,0.0476,0.0393,0.0464,0.0602,0.0368,0.0672,0.0468,0.0328,0.0629,
Server 2 utilization,0.1403,0.1464,0.1119,0.1242,0.1417,0.149,0.1498,0.1251,0.1041,0.1223,
Server 3 utilization,0.2847,0.2711,0.2776,0.2576,0.2903,0.2641,0.2868,0.259,0.2606,0.2742,
Server 4 utilization,0.4583,0.4665,0.416,0.4161,0.4397,0.4295,0.4313,0.4073,0.4048,0.429,
Server 5 utilization,0.6101,0.6221,0.5897,0.5972,0.581,0.5886,0.6131,0.5879,0.5973,0.6163,
Soma dos servidores,1.573,1.5536,1.4344,1.4416,1.5129,1.4681,1.5482,1.4261,1.3997,1.5047,
Simulation time,9976.461,10013.107,10274.363,10399.075,10467.746,10130.08,10048.722,10340.513,10242.815,9772.075, minutes
,,,,,,,,,,,
Intervalos de Confianca,,,,,,,,,,,
Trafego Transportado,[ 1.443 1.530 ] ,,985.7,,0.087,0.058537373,5.853737308,%,,,
Blocking rate,[ 0.011 0.018 ] ,,14.3,,0.007,0.48951049,48.95104895,%,,,
,,,0.0143,,,,,,,,
Valores Teoricos,,,,,,,,,,,
Trafego Oferecido ,1.5,,,,,,,,,,
Earlang - B,0.014,,,,,,,,,,
Trafego Transportado,1.479,,,,,,,,,,
,,,,,,,,,,,
,,,1.48623,,,,,,,,
