Simulation of a queueing system with,5, servers,,,,,,,,,
Mean interarrival time,10, minutes,,,,,,,,,
Mean service time,15, minutes,,,,,,,,,
With Queue,,,,,,,,,,,
LIFO discipline,,,,,,,,,,,
,,,,,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida, 6a corrida, 7a corrida, 8a corrida, 9a corrida, 10a corrida,
Number of costumers,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000, costumers
Average delay in queue per client,0.081,0.111,0.058,0.069,0.121,0.088,0.075,0.091,0.083,0.068, minutes
Average number of clients in queue,0.008,0.011,0.006,0.007,0.012,0.009,0.008,0.009,0.008,0.007, clients
Waiting rate,0.0213,0.0237,0.0174,0.0178,0.0266,0.0196,0.0188,0.0173,0.0195,0.0188,
Server 1 utilization,0.0579,0.0585,0.0544,0.0593,0.0666,0.0616,0.0571,0.0467,0.052,0.0567,
Server 2 utilization,0.13,0.1302,0.1257,0.138,0.1467,0.14,0.131,0.1413,0.1304,0.1268,
Server 3 utilization,0.2668,0.2788,0.2556,0.2777,0.2753,0.2692,0.2719,0.2635,0.2679,0.2626,
Server 4 utilization,0.4343,0.4497,0.4387,0.4377,0.4437,0.4325,0.4427,0.4415,0.4413,0.4315,
Server 5 utilization,0.6008,0.609,0.5895,0.5961,0.5977,0.6009,0.6006,0.6071,0.6057,0.5993,
Soma dos servidores,1.4898,1.5261,1.4639,1.5088,1.53,1.5043,1.5032,1.5001,1.4974,1.4769,
Simulation time,100039.984,99021.383,100878.148,99949.227,99587.422,99177.727,99995.789,101108.773,99789.32,99760.086, minutes
,,,,,,,,,,,
Intervalos de Confianca,,,,,,,,,,,
Trafego Transportado,[ 1.486 1.514 ] ,,0.0845,,0.028,0.018666044,1.866604447,,,,
Waiting rate,[ 0.018 0.022 ] ,,0.0085,,0.004,0.199203187,19.92031873,,,,
,,,0.02008,,,,,,,,
Valores Teoricos,,,,,,,,,,,
Trafego Oferecido ,1.5,,,,,,,,,,
Earlang - C,0.02,,,,,,,,,,
W_e,4.286,,,,,,,,,,
L_q,0.009,,,,,,,,,,
,,,1.50005,,,,,,,,
