Simulation of a queueing system with,1, servers,,,,,,
Mean interarrival time,15, minutes,,,,,,
Mean service time,4, minutes,,,,,,
Without Queue,,,,,,,,
,,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida,,,
Number of costumers,100000,100000,100000,100000,100000, costumers,,
Average number of costumers delayed,72952,72880,73076,73251,73000, costumers,,
Average number of lost clients,27048,27120,26924,26749,27000, clients,,
Blocking rate,0.2705,0.2712,0.2692,0.2675,0.27,,,
Server 1 utilization,0.2103,0.2098,0.2099,0.2107,0.2101,,,
Soma dos servidores,0.2103,0.2098,0.2099,0.2107,0.2101,,,
Simulation time,1904640.75,1903537.75,1914205.5,1902675.875,1908420.875, minutes,,
,,,,,,,,
Intervalos de Confianca,,,,,,,,
Trafego Transportado,[ 0.210 0.211 ] ,,73031.8,,0.001,0.004758279,0.475827941,%
Blocking rate,[ 0.268 0.271 ] ,,26968.2,,0.003,0.011124295,1.112429546,%
,,,0.26968,,,,,
Valores Teoricos,,,,,,,,
Trafego Oferecido ,0.267,,0.21016,,,,,
Earlang - B,0.211,,,,,,,
Trafego Transportado,0.211,,,,,,,
