Simulation of a queueing system with,5, servers,,,,,,,,,
Mean interarrival time,10, minutes,,,,,,,,,
Mean service time,15, minutes,,,,,,,,,
With Queue,,,,,,,,,,,
LIFO discipline,,,,,,,,,,,
,,,,,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida, 6a corrida, 7a corrida, 8a corrida, 9a corrida, 10a corrida,
Number of costumers,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000, costumers
Average delay in queue per client,0.096,0.082,0.079,0.087,0.088,0.079,0.081,0.089,0.083,0.09, minutes
Average number of clients in queue,0.01,0.008,0.008,0.009,0.009,0.008,0.008,0.009,0.008,0.009, clients
Waiting rate,0.0217,0.0197,0.0206,0.0209,0.0201,0.0193,0.0195,0.0213,0.0204,0.0203,
Server 1 utilization,0.0579,0.0553,0.0564,0.0564,0.0558,0.0572,0.0578,0.0577,0.0599,0.0562,
Server 2 utilization,0.1366,0.134,0.1314,0.1339,0.1352,0.1328,0.1347,0.1365,0.1372,0.1327,
Server 3 utilization,0.2695,0.2716,0.2682,0.2679,0.2712,0.267,0.2705,0.2729,0.2683,0.2653,
Server 4 utilization,0.4383,0.438,0.4383,0.4353,0.4401,0.4364,0.4382,0.4409,0.4377,0.4372,
Server 5 utilization,0.6029,0.6017,0.6002,0.6013,0.6031,0.6011,0.6022,0.6064,0.601,0.6023,
Soma dos servidores,1.5052,1.5006,1.4945,1.4948,1.5054,1.4945,1.5034,1.5144,1.504,1.4938,
Simulation time,999139.875,1001315.625,998392.375,1004754.063,1002079.75,1002359.625,997194.625,996643.063,998027.688,1002228.188, minutes
,,,,,,,,,,,
Intervalos de Confianca,,,,,,,,,,,
Trafego Transportado,[ 1.496 1.506 ] ,,0.0854,,0.01,0.006661959,0.666195888,,,,
Waiting rate,[ 0.020 0.021 ] ,,0.0086,,0.001,0.049067713,4.906771344,,,,
,,,0.02038,,,,,,,,
Valores Teoricos,,,,,,,,,,,
Trafego Oferecido ,1.5,,,,,,,,,,
Earlang - C,0.02,,,,,,,,,,
W_e,4.286,,,,,,,,,,
L_q,0.009,,,,,,,,,,
,,,1.50106,,,,,,,,
