Simulation of a queueing system with,1, servers,,,,,
Mean interarrival time,15, minutes,,,,,
Mean service time,4, minutes,,,,,
With Queue,,,,,,,
LIFO discipline,,,,,,,
,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida,,
Number of costumers,1000,1000,1000,1000,1000, costumers,
Average delay in queue per client,1.426,1.242,1.37,1.174,1.432, minutes,
Average number of clients in queue,0.098,0.084,0.091,0.076,0.095, clients,
Waiting rate,0.2587,0.259,0.247,0.237,0.28,,
Server 1 utilization,0.2659,0.2595,0.2653,0.2557,0.2631,,
Soma dos servidores,0.2659,0.2595,0.2653,0.2557,0.2631,,
Simulation time,14634.952,14851.22,15047.249,15424.936,15107.268, minutes,
,,,,,,,
Intervalos de Confianca,,,,,,,
Trafego Transportado,[ 0.257 0.267 ] ,,1.3288,,0.01,0.038182512,3.818251241
Waiting rate,[ 0.236 0.276 ] ,,0.0888,,0.04,0.156042756,15.60427557
,,,0.25634,,,,
Valores Teoricos,,,,,,,
Trafego Oferecido ,0.267,,0.2619,,,,
Earlang - C,0.267,,,,,,
W_e,5.455,,,,,,
L_q,0.097,,,,,,
