Simulation of a queueing system with,5, servers,,,,,
Mean interarrival time,10, minutes,,,,,
Mean service time,15, minutes,,,,,
With Queue,,,,,,,
LIFO discipline,,,,,,,
,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida,,
Number of costumers,10000,10000,10000,10000,10000, costumers,
Average delay in queue per client,0.081,0.111,0.058,0.069,0.121, minutes,
Average number of clients in queue,0.008,0.011,0.006,0.007,0.012, clients,
Waiting rate,0.0213,0.0237,0.0174,0.0178,0.0266,,
Server 1 utilization,0.0579,0.0585,0.0544,0.0593,0.0666,,
Server 2 utilization,0.13,0.1302,0.1257,0.138,0.1467,,
Server 3 utilization,0.2668,0.2788,0.2556,0.2777,0.2753,,
Server 4 utilization,0.4343,0.4497,0.4387,0.4377,0.4437,,
Server 5 utilization,0.6008,0.609,0.5895,0.5961,0.5977,,
Soma dos servidores,1.4898,1.5261,1.4639,1.5088,1.53,,
Simulation time,100039.984,99021.383,100878.148,99949.227,99587.422, minutes,
,,,,,,,
Intervalos de Confianca,,,,,,,
Trafego Transportado,[ 1.470 1.538 ] ,,0.088,,0.068,0.045221185,4.52211848
Waiting rate,[ 0.016 0.026 ] ,,0.0088,,0.01,0.468164794,46.8164794
,,,0.02136,,,,
Valores Teoricos,,,,,,,
Trafego Oferecido ,1.5,,,,,,
Earlang - C,0.02,,,,,,
W_e,4.286,,,,,,
L_q,0.009,,,,,,
,,,1.50372,,,,
,,,,,,,
,,,,,,,
