Simulation of a queueing system with,1, servers,,,,,
Mean interarrival time,15, minutes,,,,,
Mean service time,4, minutes,,,,,
With Queue,,,,,,,
LIFO discipline,,,,,,,
,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida,,
Number of costumers,100000,100000,100000,100000,100000, costumers,
Average delay in queue per client,1.459,1.481,1.434,1.433,1.454, minutes,
Average number of clients in queue,0.097,0.099,0.096,0.095,0.097, clients,
Waiting rate,0.269,0.2693,0.2677,0.2661,0.2658,,
Server 1 utilization,0.2667,0.2666,0.269,0.2654,0.2665,,
Soma dos servidores,0.2667,0.2666,0.269,0.2654,0.2665,,
Simulation time,1498710.375,1501959.125,1497592.875,1507089.625,1503134.5, minutes,
,,,,,,,
Intervalos de Confianca,,,1.4522,,0.003,0.011242692,1.124269225
Trafego Transportado,[ 0.265 0.268 ] ,,0.0968,,0.004,0.0149488,1.494880036
Waiting rate,[ 0.266 0.270 ] ,,0.26758,,,,
,,,,,,,
Valores Teoricos,,,0.26684,,,,
Trafego Oferecido ,0.267,,,,,,
Earlang - C,0.267,,,,,,
W_e,5.455,,,,,,
L_q,0.097,,,,,,
