Simulation of a queueing system with,5, servers,,,,,
Mean interarrival time,10, minutes,,,,,
Mean service time,15, minutes,,,,,
Without Queue,,,,,,,
,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida,,
Number of costumers,10000,10000,10000,10000,10000, costumers,
Average number of costumers delayed,9821,9833,9890,9841,9805, costumers,
Average number of lost clients,179,167,110,159,195, clients,
Blocking rate,0.0179,0.0167,0.011,0.0159,0.0195,,
Server 1 utilization,0.0512,0.0536,0.0427,0.0555,0.0574,,
Server 2 utilization,0.1217,0.128,0.1184,0.1324,0.1361,,
Server 3 utilization,0.2506,0.2777,0.2572,0.2684,0.2697,,
Server 4 utilization,0.4356,0.4475,0.4291,0.4312,0.4333,,
Server 5 utilization,0.6009,0.6018,0.5913,0.5958,0.5951,,
Soma dos servidores,1.46,1.5085,1.4387,1.4833,1.4916,,
Simulation time,102033.953,100294.508,102225.055,101656.75,102199.18, minutes,
,,,,,,,
Intervalos de Confianca,,,,,,,
Trafego Transportado,[ 1.442 1.510 ] ,,9838,,0.068,0.046057355,4.605735495
Blocking rate,[ 0.012 0.020 ] ,,162,,0.008,0.49382716,49.38271605
,,,0.0162,,,,
Valores Teoricos,,,,,,,
Trafego Oferecido ,1.5,,,,,,
Earlang - B,0.014,,,,,,
Trafego Transportado,1.479,,,,,,
,,,,,,,
,,,1.47642,,,,
