Simulation of a queueing system with,5, servers,,,,,,,,,
Mean interarrival time,10, minutes,,,,,,,,,
Mean service time,15, minutes,,,,,,,,,
Without Queue,,,,,,,,,,,
,,,,,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida, 6a corrida, 7a corrida, 8a corrida, 9a corrida, 10a corrida,
Number of costumers,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000, costumers
Average number of costumers delayed,9821,9833,9890,9841,9805,9850,9851,9864,9853,9867, costumers
Average number of lost clients,179,167,110,159,195,150,149,136,147,133, clients
Blocking rate,0.0179,0.0167,0.011,0.0159,0.0195,0.015,0.0149,0.0136,0.0147,0.0133,
Server 1 utilization,0.0512,0.0536,0.0427,0.0555,0.0574,0.0594,0.0524,0.046,0.0437,0.0476,
Server 2 utilization,0.1217,0.128,0.1184,0.1324,0.1361,0.1377,0.1295,0.1246,0.1263,0.1255,
Server 3 utilization,0.2506,0.2777,0.2572,0.2684,0.2697,0.2689,0.2617,0.2696,0.2597,0.2608,
Server 4 utilization,0.4356,0.4475,0.4291,0.4312,0.4333,0.4297,0.4383,0.4389,0.4295,0.4351,
Server 5 utilization,0.6009,0.6018,0.5913,0.5958,0.5951,0.5948,0.5982,0.609,0.6027,0.5991,
Soma dos servidores,1.46,1.5085,1.4387,1.4833,1.4916,1.4905,1.4801,1.4881,1.4619,1.4681,
Simulation time,102033.953,100294.508,102225.055,101656.75,102199.18,99890.258,101517.219,102201.016,101833.352,100430.453, minutes
,,,,,,,,,,,
Intervalos de Confianca,,,,,,,,,,,
Trafego Transportado,[ 1.463 1.491 ] ,,9847.5,,0.028,0.018956319,1.895631922,%,,,
Blocking rate,[ 0.014 0.017 ] ,,152.5,,0.003,0.196721311,19.67213115,%,,,
,,,0.01525,,,,,,,,
Valores Teoricos,,,,,,,,,,,
Trafego Oferecido ,1.5,,,,,,,,,,
Earlang - B,0.014,,,,,,,,,,
Trafego Transportado,1.479,,,,,,,,,,
,,,,,,,,,,,
,,,1.47708,,,,,,,,
