Simulation of a queueing system with,1, servers,,,,,
Mean interarrival time,15, minutes,,,,,
Mean service time,4, minutes,,,,,
Without Queue,,,,,,,
,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida,,
Number of costumers,10000,10000,10000,10000,10000, costumers,
Average number of costumers delayed,7302,7349,7358,7236,7203, costumers,
Average number of lost clients,2698,2651,2642,2764,2797, clients,
Blocking rate,0.2698,0.2651,0.2642,0.2764,0.2797,,
Server 1 utilization,0.2109,0.2105,0.21,0.2119,0.2101,,
Soma dos servidores,0.2109,0.2105,0.21,0.2119,0.2101,,
Simulation time,189673.125,188574.094,191527.406,191858.984,188332.438, minutes,
,,,,,,,
Intervalos de Confianca,,,,,,,
Trafego Transportado,[ 0.210 0.212 ] ,,7289.6,,0.002,0.00949307,0.949307006
Blocking rate,[ 0.263 0.280 ] ,,2710.4,,0.017,0.06272137,6.272136954
,,,0.27104,,,,
Valores Teoricos,,,,,,,
Trafego Oferecido ,0.267,,0.21068,,,,
Earlang - B,0.211,,,,,,
Trafego Transportado,0.211,,,,,,
