Simulation of a queueing system with,5, servers,,,,,
Mean interarrival time,10, minutes,,,,,
Mean service time,15, minutes,,,,,
With Queue,,,,,,,
LIFO discipline,,,,,,,
,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida,,
Number of costumers,100000,100000,100000,100000,100000, costumers,
Average delay in queue per client,0.096,0.082,0.079,0.087,0.088, minutes,
Average number of clients in queue,0.01,0.008,0.008,0.009,0.009, clients,
Waiting rate,0.0217,0.0197,0.0206,0.0209,0.0201,,
Server 1 utilization,0.0579,0.0553,0.0564,0.0564,0.0558,,
Server 2 utilization,0.1366,0.134,0.1314,0.1339,0.1352,,
Server 3 utilization,0.2695,0.2716,0.2682,0.2679,0.2712,,
Server 4 utilization,0.4383,0.438,0.4383,0.4353,0.4401,,
Server 5 utilization,0.6029,0.6017,0.6002,0.6013,0.6031,,
Soma dos servidores,1.5052,1.5006,1.4945,1.4948,1.5054,,
Simulation time,999139.875,1001315.625,998392.375,1004754.063,1002079.75, minutes,
,,,,,,,
Intervalos de Confianca,,,,,,,
Trafego Transportado,[ 1.494 1.507 ] ,,0.0864,,0.013,0.008666089,0.866608893
Waiting rate,[ 0.020 0.022 ] ,,0.0088,,0.002,0.097087379,9.708737864
,,,0.0206,,,,
Valores Teoricos,,,,,,,
Trafego Oferecido ,1.5,,,,,,
Earlang - C,0.02,,,,,,
W_e,4.286,,,,,,
L_q,0.009,,,,,,
,,,1.5001,,,,
