Simulation of a queueing system with,1, servers,,,,,
Mean interarrival time,15, minutes,,,,,
Mean service time,4, minutes,,,,,
With Queue,,,,,,,
LIFO discipline,,,,,,,
,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida,,
Number of costumers,10000,10000,10000,10000,10000, costumers,
Average delay in queue per client,1.517,1.544,1.424,1.539,1.486, minutes,
Average number of clients in queue,0.101,0.104,0.094,0.103,0.1, clients,
Waiting rate,0.2683,0.2695,0.2633,0.2777,0.2666,,
Server 1 utilization,0.2651,0.2684,0.2679,0.2691,0.2631,,
Soma dos servidores,0.2651,0.2684,0.2679,0.2691,0.2631,,
Simulation time,150039.391,148545.391,151303.125,149870.469,149403.547, minutes,
,,,,,,,
Intervalos de Confianca,,,,,,,
Trafego Transportado,[ 0.264 0.270 ] ,,1.502,,0.006,0.022495501,2.24955009
Waiting rate,[ 0.262 0.276 ] ,,0.1004,,0.014,0.052029136,5.202913632
,,,0.26908,,,,
Valores Teoricos,,,,,,,
Trafego Oferecido ,0.267,,0.26672,,,,
Earlang - C,0.267,,,,,,
W_e,5.455,,,,,,
L_q,0.097,,,,,,
