Simulation of a queueing system with,5, servers,,,,,
Mean interarrival time,10, minutes,,,,,
Mean service time,15, minutes,,,,,
Without Queue,,,,,,,
,,,,,,,
, 1a corrida, 2a corrida, 3a corrida, 4a corrida, 5a corrida,,
Number of costumers,1000,1000,1000,1000,1000, costumers,
Average number of costumers delayed,975,990,984,988,983, costumers,
Average number of lost clients,25,10,16,12,17, clients,
Blocking rate,0.025,0.01,0.016,0.012,0.017,,
Server 1 utilization,0.0797,0.0476,0.0393,0.0464,0.0602,,
Server 2 utilization,0.1403,0.1464,0.1119,0.1242,0.1417,,
Server 3 utilization,0.2847,0.2711,0.2776,0.2576,0.2903,,
Server 4 utilization,0.4583,0.4665,0.416,0.4161,0.4397,,
Server 5 utilization,0.6101,0.6221,0.5897,0.5972,0.581,,
Soma dos servidores,1.573,1.5536,1.4344,1.4416,1.5129,,
Simulation time,9976.461,10013.107,10274.363,10399.075,10467.746, minutes,
,,,,,,,
Intervalos de Confianca,,,,,,,
Trafego Transportado,[ 1.424 1.582 ] ,,984,,,,
Blocking rate,[ 0.009 0.023 ] ,,16,,0.014,0.875,87.5
,,,0.016,,0.158,0.105116093,10.51160934
Valores Teoricos,,,0.05464,,,,
Trafego Oferecido ,1.5,,0.1329,,,,
Earlang - B,0.014,,0.27626,,,,
Trafego Transportado,1.479,,0.43932,,,,
,,,0.60002,,,,
,,,1.5031,,,,
